% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.025	1	1	3	6	1	0	81	0	0	0
0.04	1	1	5	1	1	28	2196	0	0	0
0.041	1	1	5	2	1	28	2196	0	0	0
0.046	1	1	5	7	1	28	2196	0	0	0
0.048	1	1	5	9	1	28	2196	0	0	0
0.056	1	1	6	7	1	28	2196	0	0	0
0.058	1	1	6	9	1	28	2196	0	0	0
0.066	1	1	7	7	1	28	2196	0	0	0
0.068	1	1	7	9	1	28	2196	0	0	0
0.07	1	1	8	1	1	28	2196	0	0	0
0.076	1	1	8	7	1	28	2196	0	0	0
0.078	1	1	8	9	1	28	2196	0	0	0
0.086	1	1	9	7	1	28	2196	0	0	0
0.088	1	1	9	9	1	28	2196	0	0	0
0.096	1	1	10	7	1	28	2196	0	0	0
0.098	1	1	10	9	1	28	2196	0	0	0
0.106	1	1	11	7	1	28	2196	0	0	0
0.108	1	1	11	9	1	28	2196	0	0	0
0.116	1	1	12	7	1	28	2196	0	0	0
0.118	1	1	12	9	1	28	2196	0	0	0
0.126	1	1	13	7	1	28	2196	0	0	0
0.128	1	1	13	9	1	28	2196	0	0	0
0.136	1	1	14	7	1	28	2196	0	0	0
0.138	1	1	14	9	1	28	2196	0	0	0
0.146	1	1	15	7	1	28	2196	0	0	0
0.148	1	1	15	9	1	28	2196	0	0	0
0.156	1	1	16	7	1	28	2196	0	0	0
0.158	1	1	16	9	1	28	2196	0	0	0
0.166	1	1	17	7	1	28	2196	0	0	0
0.168	1	1	17	9	1	28	2196	0	0	0
0.176	1	1	18	7	1	28	2196	0	0	0
0.178	1	1	18	9	1	28	2196	0	0	0
0.186	1	1	19	7	1	28	2196	0	0	0
0.188	1	1	19	9	1	28	2196	0	0	0
0.196	1	1	20	7	1	28	2196	0	0	0
0.198	1	1	20	9	1	28	2196	0	0	0
0.201	1	1	21	2	1	28	2196	0	0	0
0.206	2	1	21	7	1	0	81	0	0	0
0.207	2	1	21	8	1	0	81	0	0	0
0.208	2	1	21	9	1	0	81	0	0	0
0.209	2	1	21	10	1	0	81	0	0	0
0.21	2	1	22	1	1	28	2196	0	0	0
0.211	2	1	22	2	1	28	2196	0	0	0
0.212	2	1	22	3	1	28	2196	0	0	0
0.213	2	1	22	4	1	28	2196	0	0	0
0.214	2	1	22	5	1	28	2196	0	0	0
0.215	2	1	22	6	1	28	2196	0	0	0
0.216	2	1	22	7	1	28	2196	0	0	0
0.218	2	1	22	9	1	28	2196	0	0	0
0.219	2	1	22	10	1	28	2196	0	0	0
0.226	2	1	23	7	1	28	2196	0	0	0
0.228	2	1	23	9	1	28	2196	0	0	0
0.236	2	1	24	7	1	28	2196	0	0	0
0.238	2	1	24	9	1	28	2196	0	0	0
0.246	2	1	25	7	1	28	2196	0	0	0
0.248	2	1	25	9	1	28	2196	0	0	0
0.256	2	1	26	7	1	28	2196	0	0	0
0.258	2	1	26	9	1	28	2196	0	0	0
0.266	2	1	27	7	1	28	2196	0	0	0
0.268	2	1	27	9	1	28	2196	0	0	0
0.276	2	1	28	7	1	28	2196	0	0	0
0.278	2	1	28	9	1	28	2196	0	0	0
0.286	2	1	29	7	1	28	2196	0	0	0
0.288	2	1	29	9	1	28	2196	0	0	0
0.296	2	1	30	7	1	28	2196	0	0	0
0.298	2	1	30	9	1	28	2196	0	0	0
