% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
27	1	1	1	0	0	0	81	0	1	1	0
42	1	1	1	0	0	28	2196	0	1	1	0
43	1	1	1	0	0	28	2196	0	1	1	0
48	1	1	1	0	0	28	2196	0	1	1	0
50	1	1	1	0	0	28	2196	0	1	1	0
58	1	1	1	0	0	28	2196	0	1	1	0
60	1	1	1	0	0	28	2196	0	1	1	0
68	1	1	1	0	0	28	2196	0	1	1	0
70	1	1	1	0	0	28	2196	0	1	1	0
72	1	1	1	0	0	28	2196	0	1	1	0
78	1	1	1	0	0	28	2196	0	1	1	0
80	1	1	1	0	0	28	2196	0	1	1	0
88	1	1	1	0	0	28	2196	0	1	1	0
90	1	1	1	0	0	28	2196	0	1	1	0
98	1	1	1	0	0	28	2196	0	1	1	0
100	1	1	1	0	0	28	2196	0	1	1	0
108	1	1	1	0	0	28	2196	0	1	1	0
110	1	1	1	0	0	28	2196	0	1	1	0
118	1	1	1	0	0	28	2196	0	1	1	0
120	1	1	1	0	0	28	2196	0	1	1	0
128	1	1	1	0	0	28	2196	0	1	1	0
130	1	1	1	0	0	28	2196	0	1	1	0
138	1	1	1	0	0	28	2196	0	1	1	0
140	1	1	1	0	0	28	2196	0	1	1	0
148	1	1	1	0	0	28	2196	0	1	1	0
150	1	1	1	0	0	28	2196	0	1	1	0
158	1	1	1	0	0	28	2196	0	1	1	0
160	1	1	1	0	0	28	2196	0	1	1	0
168	1	1	1	0	0	28	2196	0	1	1	0
170	1	1	1	0	0	28	2196	0	1	1	0
178	1	1	1	0	0	28	2196	0	1	1	0
180	1	1	1	0	0	28	2196	0	1	1	0
188	1	1	1	0	0	28	2196	0	1	1	0
190	1	1	1	0	0	28	2196	0	1	1	0
198	1	1	1	0	0	28	2196	0	1	1	0
200	1	1	1	0	0	28	2196	0	1	1	0
203	1	1	1	0	0	28	2196	0	1	1	0
208	2	1	1	0	0	0	81	0	1	1	0
209	2	1	1	0	0	0	81	0	1	1	0
210	2	1	1	0	0	0	81	0	1	1	0
211	2	1	1	0	0	0	81	0	1	1	0
212	2	1	1	0	0	28	2196	0	1	1	0
218	2	1	1	0	0	28	2196	0	1	1	0
220	2	1	1	0	0	28	2196	0	1	1	0
221	2	1	1	0	0	28	2196	0	1	1	0
228	2	1	1	0	0	28	2196	0	1	1	0
230	2	1	1	0	0	28	2196	0	1	1	0
238	2	1	1	0	0	28	2196	0	1	1	0
240	2	1	1	0	0	28	2196	0	1	1	0
248	2	1	1	0	0	28	2196	0	1	1	0
250	2	1	1	0	0	28	2196	0	1	1	0
258	2	1	1	0	0	28	2196	0	1	1	0
260	2	1	1	0	0	28	2196	0	1	1	0
268	2	1	1	0	0	28	2196	0	1	1	0
270	2	1	1	0	0	28	2196	0	1	1	0
278	2	1	1	0	0	28	2196	0	1	1	0
280	2	1	1	0	0	28	2196	0	1	1	0
288	2	1	1	0	0	28	2196	0	1	1	0
290	2	1	1	0	0	28	2196	0	1	1	0
298	2	1	1	0	0	28	2196	0	1	1	0
