% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.033	1	1	4	4	1	0	85	0
0.041	1	1	5	2	1	28	2292	0
0.043	1	1	5	4	1	28	2292	0
0.049	1	1	5	10	1	28	2292	0
0.051	1	1	6	2	1	28	2292	0
0.053	1	1	6	4	1	28	2292	0
0.061	1	1	7	2	1	28	2292	0
0.063	1	1	7	4	1	28	2292	0
0.069	1	1	7	10	1	28	2292	0
0.071	1	1	8	2	1	28	2292	0
0.073	1	1	8	4	1	28	2292	0
0.081	1	1	9	2	1	28	2292	0
0.083	1	1	9	4	1	28	2292	0
0.091	1	1	10	2	1	28	2292	0
0.093	1	1	10	4	1	28	2292	0
0.101	1	1	11	2	1	28	2292	0
0.103	1	1	11	4	1	28	2292	0
0.111	1	1	12	2	1	28	2292	0
0.113	1	1	12	4	1	28	2292	0
0.121	1	1	13	2	1	28	2292	0
0.123	1	1	13	4	1	28	2292	0
0.131	1	1	14	2	1	28	2292	0
0.133	1	1	14	4	1	28	2292	0
0.141	1	1	15	2	1	28	2292	0
0.143	1	1	15	4	1	28	2292	0
0.151	1	1	16	2	1	28	2292	0
0.153	1	1	16	4	1	28	2292	0
0.161	1	1	17	2	1	28	2292	0
0.163	1	1	17	4	1	28	2292	0
0.171	1	1	18	2	1	28	2292	0
0.173	1	1	18	4	1	28	2292	0
0.181	1	1	19	2	1	28	2292	0
0.183	1	1	19	4	1	28	2292	0
0.191	1	1	20	2	1	28	2292	0
0.193	1	1	20	4	1	28	2292	0
0.201	1	1	21	2	1	28	2292	0
0.203	1	1	21	4	1	28	2292	0
0.211	2	1	22	2	1	0	85	0
0.212	2	1	22	3	1	0	85	0
0.213	2	1	22	4	1	0	85	0
0.214	2	1	22	5	1	0	85	0
0.215	2	1	22	6	1	0	85	0
0.216	2	1	22	7	1	0	85	0
0.217	2	1	22	8	1	0	85	0
0.218	2	1	22	9	1	28	2292	0
0.221	2	1	23	2	1	28	2292	0
0.222	2	1	23	3	1	28	2292	0
0.223	2	1	23	4	1	28	2292	0
0.224	2	1	23	5	1	28	2292	0
0.227	2	1	23	8	1	28	2292	0
0.231	2	1	24	2	1	28	2292	0
0.233	2	1	24	4	1	28	2292	0
0.241	2	1	25	2	1	28	2292	0
0.243	2	1	25	4	1	28	2292	0
0.247	2	1	25	8	1	28	2292	0
0.249	2	1	25	10	1	28	2292	0
0.251	2	1	26	2	1	28	2292	0
0.253	2	1	26	4	1	28	2292	0
0.261	2	1	27	2	1	28	2292	0
0.263	2	1	27	4	1	28	2292	0
0.271	2	1	28	2	1	28	2292	0
0.273	2	1	28	4	1	28	2292	0
0.281	2	1	29	2	1	28	2292	0
0.283	2	1	29	4	1	28	2292	0
0.291	2	1	30	2	1	28	2292	0
0.293	2	1	30	4	1	28	2292	0
