% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
39	1	1	1	0	0	85	0	1	0
47	1	1	1	0	28	2292	0	1	0
49	1	1	1	0	28	2292	0	1	0
55	1	1	1	0	28	2292	0	1	0
57	1	1	1	0	28	2292	0	1	0
59	1	1	1	0	28	2292	0	1	0
67	1	1	1	0	28	2292	0	1	0
69	1	1	1	0	28	2292	0	1	0
75	1	1	1	0	28	2292	0	1	0
77	1	1	1	0	28	2292	0	1	0
79	1	1	1	0	28	2292	0	1	0
87	1	1	1	0	28	2292	0	1	0
89	1	1	1	0	28	2292	0	1	0
97	1	1	1	0	28	2292	0	1	0
99	1	1	1	0	28	2292	0	1	0
107	1	1	1	0	28	2292	0	1	0
109	1	1	1	0	28	2292	0	1	0
117	1	1	1	0	28	2292	0	1	0
119	1	1	1	0	28	2292	0	1	0
127	1	1	1	0	28	2292	0	1	0
129	1	1	1	0	28	2292	0	1	0
137	1	1	1	0	28	2292	0	1	0
139	1	1	1	0	28	2292	0	1	0
147	1	1	1	0	28	2292	0	1	0
149	1	1	1	0	28	2292	0	1	0
157	1	1	1	0	28	2292	0	1	0
159	1	1	1	0	28	2292	0	1	0
167	1	1	1	0	28	2292	0	1	0
169	1	1	1	0	28	2292	0	1	0
177	1	1	1	0	28	2292	0	1	0
179	1	1	1	0	28	2292	0	1	0
187	1	1	1	0	28	2292	0	1	0
189	1	1	1	0	28	2292	0	1	0
197	1	1	1	0	28	2292	0	1	0
199	1	1	1	0	28	2292	0	1	0
207	1	1	1	0	28	2292	0	1	0
217	2	1	1	0	0	85	0	1	0
218	2	1	1	0	0	85	0	1	0
219	2	1	1	0	0	85	0	1	0
220	2	1	1	0	0	85	0	1	0
221	2	1	1	0	0	85	0	1	0
222	2	1	1	0	0	85	0	1	0
223	2	1	1	0	0	85	0	1	0
224	2	1	1	0	28	2292	0	1	0
227	2	1	1	0	28	2292	0	1	0
228	2	1	1	0	28	2292	0	1	0
229	2	1	1	0	28	2292	0	1	0
230	2	1	1	0	28	2292	0	1	0
233	2	1	1	0	28	2292	0	1	0
237	2	1	1	0	28	2292	0	1	0
239	2	1	1	0	28	2292	0	1	0
247	2	1	1	0	28	2292	0	1	0
249	2	1	1	0	28	2292	0	1	0
253	2	1	1	0	28	2292	0	1	0
255	2	1	1	0	28	2292	0	1	0
257	2	1	1	0	28	2292	0	1	0
259	2	1	1	0	28	2292	0	1	0
267	2	1	1	0	28	2292	0	1	0
269	2	1	1	0	28	2292	0	1	0
277	2	1	1	0	28	2292	0	1	0
279	2	1	1	0	28	2292	0	1	0
287	2	1	1	0	28	2292	0	1	0
289	2	1	1	0	28	2292	0	1	0
297	2	1	1	0	28	2292	0	1	0
299	2	1	1	0	28	2292	0	1	0
